Query_ID	Query
1	kennedy OR administration OR pressure OR on OR ngo OR dinh OR diem OR to OR stop OR suppressing OR the OR buddhists
2	efforts OR of OR ambassador OR henry OR cabot OR lodge OR to OR get OR viet OR nam's OR president OR diem OR to OR change OR his OR policies OR of OR political OR repression
3	number OR of OR troops OR the OR united OR states OR has OR stationed OR in OR south OR viet OR nam OR as OR compared OR with OR the OR number OR of OR troops OR it OR has OR stationed OR in OR west OR germany
4	u OR s OR policy OR toward OR the OR new OR regime OR in OR south OR viet OR nam OR which OR overthrew OR president OR diem
5	persons OR involved OR in OR the OR viet OR nam OR coup
6	ceremonial OR suicides OR committed OR by OR some OR buddhist OR monks OR in OR south OR viet OR nam OR and OR what OR they OR are OR seeking OR to OR gain OR by OR such OR acts
7	rejection OR by OR prince OR norodom OR sihanouk OR an OR asian OR neutralist OR leader OR of OR all OR further OR u OR s OR aid OR to OR his OR nation
8	u OR n OR team OR survey OR of OR public OR opinion OR in OR north OR borneo OR and OR sarawak OR on OR the OR question OR of OR joining OR the OR federation OR of OR malaysia
9	opposition OR of OR indonesia OR to OR the OR newly OR created OR malaysia
10	growing OR controversy OR in OR southeast OR asia OR over OR the OR proposed OR creation OR of OR a OR federation OR of OR malaysia
11	arrangements OR for OR indonesia OR to OR take OR over OR the OR administration OR of OR west OR irian OR which OR has OR been OR under OR united OR nations OR administration
12	controversy OR between OR indonesia OR and OR malaya OR on OR the OR proposed OR federation OR of OR malaysia OR which OR would OR unite OR five OR territories
13	precarious OR truce OR in OR laos OR which OR was OR brought OR up OR by OR britain OR before OR the OR 14 OR nations OR that OR agreed OR on OR the OR truce OR in OR geneva OR last OR year
14	maphilindo OR a OR word OR formed OR from OR parts OR of OR the OR names OR of OR three OR countries OR which OR is OR being OR used OR in OR discussions OR of OR international OR relations OR in OR the OR far OR east
15	election OR of OR park OR chung OR hee OR as OR president OR of OR south OR korea
16	efforts OR of OR the OR three OR nation OR international OR control OR commission OR for OR indo OR china OR to OR try OR to OR stop OR the OR fighting OR that OR has OR flared OR in OR laos
17	withdrawal OR by OR the OR sultanate OR of OR brunei OR from OR the OR proposed OR federation OR of OR malaysia
18	russia's OR refusal OR to OR contribute OR funds OR for OR the OR support OR of OR united OR nations OR peacekeeping OR forces
19	agreement OR by OR the OR united OR arab OR republic OR and OR saudi OR arabia OR to OR withdraw OR their OR forces OR from OR yemen OR which OR involves OR observers OR from OR the OR united OR nations OR expeditionary OR force OR being OR sent OR to OR yemen
20	the OR united OR states OR has OR warned OR it OR would OR limit OR its OR united OR nations OR payments OR to OR the OR level OR of OR its OR regular OR assessment OR if OR nations OR now OR in OR arrears OR fail OR to OR pay OR up OR what OR issues OR are OR involved OR in OR these OR nations' OR being OR in OR arrears
21	security OR council OR consideration OR of OR the OR complaints OR by OR 32 OR african OR nations OR against OR south OR africa OR and OR portugal
22	alternatives OR which OR have OR been OR offered OR if OR u OR n OR forces OR are OR withdrawn OR from OR the OR congo
23	what OR countries OR have OR newly OR joined OR the OR united OR nations
24	united OR nations OR efforts OR to OR get OR portugal OR to OR free OR its OR african OR colonies
25	u OR n OR consideration OR of OR the OR conflict OR between OR israel OR and OR its OR arab OR neighbors
26	effect OR in OR the OR u OR n OR of OR a OR majority OR comprised OR of OR underdeveloped OR nations
27	british OR proposal OR for OR new OR high OR level OR negotiations OR with OR russia OR or OR a OR four OR power OR summit OR meeting
28	strengths OR in OR popular OR votes OR of OR the OR various OR political OR parties OR in OR the OR recent OR italian OR elections
29	talks OR between OR secretary OR of OR state OR rusk OR and OR president OR tito OR of OR yugoslavia OR concerning OR most OR favored OR nation OR treatment OR for OR yugoslav OR exports OR to OR the OR united OR states
30	parliamentary OR vote OR of OR confidence OR won OR by OR prime OR minister OR macmillan OR on OR the OR profumo OR scandal OR and OR what OR effect OR the OR profumo OR scandal OR may OR have OR on OR labor's OR chances OR in OR the OR next OR british OR elections
31	leaders OR which OR figure OR in OR discussions OR of OR the OR future OR of OR the OR west OR german OR chancellorship
32	talks OR held OR in OR east OR germany OR by OR premier OR khrushchev OR with OR the OR leaders OR of OR four OR east OR european OR satellite OR countries
33	government OR crisis OR which OR was OR produced OR by OR the OR controversy OR involving OR the OR walloons OR and OR the OR flemings
34	difficulties OR ireland's OR minority OR government OR is OR facing OR because OR of OR the OR growing OR unrest OR over OR its OR agricultural OR policies
35	talks OR between OR portugal OR and OR the OR u OR s OR on OR the OR troubles OR portugal OR has OR been OR having OR with OR its OR african OR possessions
36	shake OR ups OR in OR the OR czech OR regime OR headed OR by OR president OR antonin OR novotny
37	wheat OR deals OR involving OR the OR united OR states OR russia OR and OR canada
38	speculation OR that OR the OR number OR of OR u OR s OR forces OR in OR europe OR might OR be OR reduced
39	coalition OR government OR to OR be OR formed OR in OR italy OR by OR the OR left OR wing OR socialists OR the OR republicans OR social OR democrats OR and OR christian OR democrats
40	results OR of OR the OR political OR polls OR in OR britain OR regarding OR which OR party OR is OR in OR the OR lead OR the OR labor OR party OR or OR the OR conservatives
41	what OR two OR proposals OR did OR de OR gaulle OR reject OR this OR year OR affecting OR allied OR relations
42	president OR de OR gaulle's OR belief OR that OR france's OR nuclear OR force OR should OR be OR the OR keystone OR of OR a OR european OR defense OR system
43	efforts OR by OR khrushchev OR to OR find OR a OR closer OR relationship OR with OR yugoslavia
44	bonn's OR opposition OR to OR proposals OR for OR an OR east OR west OR nonaggression OR pact
45	background OR of OR the OR new OR prime OR minister OR of OR great OR britain
46	president OR de OR gaulle's OR policy OR on OR british OR entry OR into OR the OR common OR market
47	proposals OR for OR a OR unified OR europe OR independent OR of OR the OR u OR s
48	what OR is OR the OR hot OR line OR proposal
49	background OR of OR the OR new OR chancellor OR of OR west OR germany OR ludwig OR erhard
50	meeting OR of OR ministers OR in OR paris OR in OR april OR of OR those OR countries OR that OR are OR members OR of OR both OR nato OR and OR seato
51	successor OR to OR premier OR khrushchev
52	hint OR by OR premier OR khrushchev OR who OR is OR both OR the OR communist OR party OR secretary OR and OR premier OR that OR he OR may OR retire OR from OR one OR of OR his OR two OR posts
53	premier OR khrushchev OR once OR again OR pressing OR for OR a OR nonaggression OR pact OR between OR nato OR and OR the OR warsaw OR pact OR nations
54	communist OR china's OR reaction OR to OR the OR soviet OR union's OR signing OR of OR the OR nuclear OR test OR ban OR treaty OR with OR the OR west
55	suggestion OR made OR by OR president OR kennedy OR for OR a OR nato OR nuclear OR missile OR fleet OR manned OR by OR international OR crews
56	suggestion OR by OR president OR kennedy OR that OR the OR u OR s OR and OR the OR soviet OR union OR cooperate OR on OR a OR moon OR project
57	provisions OR of OR the OR test OR ban OR treaty
58	other OR nations OR possessing OR u OR s OR polaris OR missiles OR for OR their OR nuclear OR submarine OR fleets
59	dispute OR between OR the OR u OR s OR and OR the OR soviet OR union OR over OR inspection OR systems OR at OR the OR geneva OR disarmament OR conferences
60	signing OR of OR the OR test OR ban OR treaty
61	nations OR working OR on OR nuclear OR weapons OR development
62	moscow's OR support OR of OR the OR kurd's OR struggle OR for OR autonomy
63	president OR nasser's OR ruling OR out OR arab OR union OR so OR long OR as OR the OR present OR governing OR party OR in OR syria OR remains OR in OR control
64	prime OR minister OR nehru's OR coming OR under OR attack OR last OR week OR in OR the OR first OR no OR confidence OR motion OR entertained OR by OR the OR indian OR parliament OR since OR his OR government OR took OR office
65	border OR dispute OR between OR israel OR and OR syria
66	agreement OR between OR syria OR and OR iraq OR on OR full OR economic OR unity OR and OR closer OR economic OR cooperation
67	continuing OR conflict OR between OR india OR and OR pakistan OR over OR kashmir
68	indian OR fears OR of OR another OR communist OR chinese OR invasion
69	the OR baath OR renaissance OR party OR founded OR by OR michel OR aflak OR which OR has OR gained OR control OR of OR syria OR and OR iraq OR and OR aims OR to OR unite OR all OR arab OR countries
70	king OR who OR signed OR away OR his OR power OR of OR state OR giving OR free OR rein OR to OR his OR half OR brother OR feisal's OR reform OR rule
71	somalia OR is OR involved OR in OR border OR disputes OR with OR its OR neighbors OR what OR military OR aid OR is OR being OR supplied OR to OR somalia OR by OR russia
72	economic OR steps OR taken OR against OR south OR africa OR as OR a OR protest OR against OR that OR nation's OR apartheid OR policy
73	increasing OR criticism OR of OR premier OR ben OR bella OR in OR algeria OR from OR other OR leaders OR who OR helped OR bring OR about OR algerian OR independence
74	take OR over OR again OR by OR moise OR tshombe OR of OR the OR katanga OR province OR in OR the OR congo
75	premier OR cyrille OR adoula's OR ordering OR the OR entire OR soviet OR embassy OR staff OR thrown OR out OR of OR his OR country OR on OR spying OR charges
76	conference OR on OR african OR unity OR to OR be OR held OR in OR addis OR ababa OR on OR may OR 22 OR by OR the OR heads OR of OR state OR of OR 31 OR independent OR african OR nations
77	spain's OR relaxation OR of OR controls OR over OR some OR of OR its OR african OR territories
78	federation OR of OR east OR africa OR to OR be OR formed OR by OR kenya OR tanganyika OR and OR uganda OR when OR kenya OR gains OR its OR independence OR on OR dec OR 12 OR from OR britain
79	algerian OR vote OR on OR a OR new OR constitution OR giving OR full OR powers OR to OR premier OR ben OR bella's OR political OR party
80	effects OR of OR the OR sino OR soviet OR dispute OR on OR the OR new OR nations OR of OR africa OR and OR asia OR or OR on OR areas OR of OR ferment OR in OR latin OR america
81	communist OR chinese OR trade OR with OR the OR soviet OR union OR the OR rest OR of OR the OR communist OR world OR and OR with OR the OR non OR communist OR world
82	albanian OR backing OR of OR communist OR china OR in OR the OR ideological OR split OR with OR the OR soviet OR union
83	red OR chinese OR blaming OR of OR economic OR troubles OR and OR the OR treaty OR breaking OR withdrawal OR of OR russian OR technical OR assistance OR for OR serious OR delays OR in OR its OR development OR program
